Course No.,Course Title,Description,Attributes1,Attributes2,Autumn '18,Winter '18,Spring '18,Units,Instructor
CS 52,CS + Social Good Studio,"Continuation of CS51 (CS + Social Good Studio). Teams enter the quarter having completed and tested a minimal viable product (MVP) with a well-defined target user, and a community partner. Students will learn to apply scalable technical frameworks, methods to measure social impact, tools for deployment, user acquisition techniques and growth/exit strategies. The purpose of the class is to facilitate students to build a sustainable infrastructure around their product idea. CS52 will host mentors, guest speakers and industry experts for various workshops and coaching-sessions. The class culminates in a showcase where students share their projects with stakeholders and the public. Prerequisite: CS 51, or consent of instructor.",Terms: Spr | Units: 2 | Grading: Satisfactory/No Credit,"Instructors: Cain, J. (PI)",FALSE,FALSE,TRUE,2 ," Cain, J. (PI)"
CS 56N,Great Discoveries and Inventions in Computing,"This seminar will explore some of both the great discoveries that underlie computer science and the inventions that have produced the remarkable advances in computing technology. Key questions we will explore include: What is computable? How can information be securely communicated? How do computers fundamentally work? What makes computers fast? Our exploration will look both at the principles behind the discoveries and inventions, as well as the history and the people involved in those events. Some exposure to programming will be helpful, but it not strictly necessary.",Terms: Win | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Hennessy, J. (PI)",FALSE,TRUE,FALSE,3 ," Hennessy, J. (PI)"
CS 80Q,Race and Gender in Silicon Valley (AFRICAAM 80Q),"This course interrogates the social challenges of Silicon Valley, a place of privilege, privation, and precarity, and encourages students to perform their own ethnographical studies through writing, coding, engagement, digital culture, and social practice. We will learn about the importance of technology in shaping our critical understanding of social conditions in our community and the global economy.",Terms: Aut | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Lee, C. (PI)",TRUE,FALSE,FALSE,3 ," Lee, C. (PI)"
CS 83,Playback Theater For Research,"Playback combines elements of theater, community work and storytelling. In a playback show, a group of actors and musicians create an improvised performance based on the audience's personal stories. A playback show brings about a powerful listening and sharing experience. During the course, we will tell, listen, play together, and train in playback techniques. We will write diaries to process our experience in the context of education and research. The course is aimed to strengthen listening abilities, creativity and the collaborative spirit, all integral parts of doing great science. In playback, as in research, we are always moving together, from the known, to the unknown, and back. There is limited enrollment for this class. Application is required.",Terms: Win | Units: 3 | UG Reqs: WAY-CE | Grading: Letter or Credit/No Credit,"Instructors: Reingold, O. (PI)",FALSE,TRUE,FALSE,3 ," Reingold, O. (PI)"
CS 101,Introduction to Computing Principles,"Introduces the essential ideas of computing: data representation, algorithms, programming ""code"", computer hardware, networking, security, and social issues. Students learn how computers work and what they can do through hands-on exercises. In particular, students will see the capabilities and weaknesses of computer systems so they are not mysterious or intimidating. Course features many small programming exercises, although no prior programming experience is assumed or required. CS101 is not a complete programming course such as CS106A. CS101 is effectively an alternative to CS105. A laptop computer is recommended for the in-class exercises.","Terms: Aut | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Taylor, A. (PI)",TRUE,FALSE,FALSE,3-5 ," Taylor, A. (PI)"
CS 102,Big Data - Tools and Techniques,"Aimed at non-CS undergraduate and graduate students who want to learn the basics of big data tools and techniques and apply that knowledge in their areas of study. Many of the world's biggest discoveries and decisions in science, technology, business, medicine, politics, and society as a whole, are now being made on the basis of collecting and analyzing large volumes of data. At the same time, it is surprisingly easy to make errors or come to false conclusions from data analysis alone. This course provides a broad and practical introduction to big data: data analysis techniques including databases, data mining, and machine learning; data analysis tools including spreadsheets, relational databases and SQL, Python, and R; data visualization techniques and tools; pitfalls in data collection and analysis. Tools and techniques are hands-on but at a cursory level, providing a basis for future exploration and application. Prerequisites: comfort with basic logic and mathematical concepts, along with high school AP computer science, CS106A, or other equivalent programming experience.",Terms: Win | Units: 3-4 | UG Reqs: WAY-AQR | Grading: Letter or Credit/No Credit,"Instructors: Widom, J. (PI)",FALSE,TRUE,FALSE,3-4 ," Widom, J. (PI)"
CS 103,Mathematical Foundations of Computing,"What are the theoretical limits of computing power? What problems can be solved with computers? Which ones cannot? And how can we reason about the answers to these questions with mathematical certainty? This course explores the answers to these questions and serves as an introduction to discrete mathematics, computability theory, and complexity theory. At the completion of the course, students will feel comfortable writing mathematical proofs, reasoning about discrete structures, reading and writing statements in first-order logic, and working with mathematical models of computing devices. Throughout the course, students will gain exposure to some of the most exciting mathematical and philosophical ideas of the late nineteenth and twentieth centuries. Specific topics covered include formal mathematical proofwriting, propositional and first-order logic, set theory, binary relations, functions (injections, surjections, and bijections), cardinality, basic graph theory, the pigeonhole principle, mathematical induction, finite automata, regular expressions, the Myhill-Nerode theorem, context-free grammars, Turing machines, decidable and recognizable languages, self-reference and undecidability, verifiers, and the P versus NP question. Students with significant proofwriting experience are encouraged to instead take CS154. Students interested in extra practice and support with the course are encouraged to concurrently enroll in CS103A. Prerequisite: CS106B or equivalent. CS106B may be taken concurrently with CS103.","Terms: Aut, Win, Spr | Units: 3-5 | UG Reqs: GER:DB-Math, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Lee, C. (PI) ; Schwarz, K. (PI)",TRUE,TRUE,TRUE,3-5 ," Lee, C. (PI) ; Schwarz, K. (PI)"
CS 103A,Mathematical Problem-solving Strategies,Problem solving strategies and techniques in discrete mathematics and computer science. Additional problem solving practice for CS103. In-class participation required. Prerequisite: consent of instructor. Co-requisite: CS103.,Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Schwarz, K. (PI)",TRUE,FALSE,FALSE,1 ," Schwarz, K. (PI)"
CS 105,Introduction to Computers,For non-technical majors. What computers are and how they work. Practical experience in programming. Construction of computer programs and basic design techniques. A survey of Internet technology and the basics of computer hardware. Students in technical fields and students looking to acquire programming skills should take 106A or 106X. Students with prior computer science experience at the level of 106 or above require consent of instructor. Prerequisite: minimal math skills.,"Terms: Spr | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Young, P. (PI)",FALSE,FALSE,TRUE,3-5 ," Young, P. (PI)"
CS 106A,Programming Methodology (ENGR 70A),"Introduction to the engineering of computer applications emphasizing modern software engineering principles: object-oriented design, decomposition, encapsulation, abstraction, and testing. Emphasis is on good programming style and the built-in facilities of respective languages. No prior programming experience required. Summer quarter enrollment is limited. Alternative versions of CS106A may be available which cover most of the same material but in different programming languages.","Terms: Aut, Win, Spr, Sum | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Cain, J. (PI) ; Parlante, N. (PI) ; Piech, C. (PI) ; Sahami, M. (PI)",TRUE,TRUE,TRUE,3-5 ," Cain, J. (PI) ; Parlante, N. (PI) ; Piech, C. (PI) ; Sahami, M. (PI)"
CS 106AJ,Programming Methodology in JavaScript,"Introduction to the engineering of computer applications emphasizing modern software engineering principles: object-oriented design, decomposition, encapsulation, abstraction, and testing. Uses the JavaScript programming language. Emphasis is on good programming style and the built-in facilities of the JavaScript language. No prior programming experience required. This course covers most of the same material as CS106A Section 1 in Java and CS 106A Section 3 in Python, but this course uses the JavaScript programming language. To enroll in this class, enroll in CS 106A Section 2 for Fall Qtr. May be taken for 3 units by grad students.",Terms: Aut | Units: 3-5 | Grading: Letter or Credit/No Credit,"Instructors: Cain, J. (PI)",TRUE,FALSE,FALSE,3-5 ," Cain, J. (PI)"
CS 106AP,Programming Methodology in Python,"Introduction to the engineering of computer applications in Python, emphasizing modern software engineering principles: decomposition, abstraction, testing and good programming style. This course covers most of the same material as the other versions of CS106A, but using the Python programming language which is popular for general engineering and web development. Required readings will all be available for free on the web. Students are encouraged to bring a laptop to lecture to do the live exercises which are integrated with lecture. No prior programming experience required. To enroll in this class, enroll in CS 106A Section 3.","Terms: Win, Spr | Units: 3-5 | Grading: Letter or Credit/No Credit","Instructors: Parlante, N. (PI)",FALSE,TRUE,TRUE,3-5 ," Parlante, N. (PI)"
CS 106B,Programming Abstractions (ENGR 70B),"Abstraction and its relation to programming. Software engineering principles of data abstraction and modularity. Object-oriented programming, fundamental data structures (such as stacks, queues, sets) and data-directed design. Recursion and recursive data structures (linked lists, trees, graphs). Introduction to time and space complexity analysis. Uses the programming language C++ covering its basic facilities. Prerequisite: 106A or equivalent. Summer quarter enrollment is limited.","Terms: Aut, Win, Spr, Sum | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Schwarz, K. (PI) ; Stepp, M. (PI)",TRUE,TRUE,TRUE,3-5 ," Schwarz, K. (PI) ; Stepp, M. (PI)"
CS 106E,Practical Exploration of Computing,"A follow up class to CS106A for non-majors which will both provide practical web programming skills and cover essential computing topics including computer security and privacy. Additional topics will include digital representation of images and music, an exploration of how the Internet works, and a look at the internals of the computer. Students taking the course for 4 units will be required to carry out supplementary programming assignments in addition to the course's regular assignments. Prerequisite: 106A or equivalent",Terms: Spr | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Young, P. (PI)",FALSE,FALSE,TRUE,3-4 ," Young, P. (PI)"
CS 106L,Standard C++ Programming Laboratory,"Supplemental lab to 106B and 106X. Additional features of standard C++ programming practice. Possible topics include advanced C++ language features, standard libraries, STL containers and algorithms, object memory management, operator overloading, and inheritance. Prerequisite: consent of instructor. Corequisite: 106B or 106X.",Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Malik, A. (PI) ; Stepp, M. (PI)",TRUE,FALSE,FALSE,1 ," Malik, A. (PI) ; Stepp, M. (PI)"
CS 106S,Coding for Social Good,"Survey course on applications of fundamental computer science concepts from CS 106B/X to problems in the social good space (such as health, government, education, and environment). Each week consists of in-class activities designed by student groups, local tech companies, and nonprofits. Introduces students to JavaScript and the basics of web development. Topics have included mental health chatbots, tumor classification with basic machine learning, sentiment analysis of tweets on refugees, and storytelling through virtual reality. Corequisite: 106B or 106X.","Terms: Aut, Win, Spr | Units: 1 | Grading: Satisfactory/No Credit","Instructors: Cain, J. (PI)",TRUE,TRUE,TRUE,1 ," Cain, J. (PI)"
CS 106X,Programming Abstractions (Accelerated) (ENGR 70X),"Intensive version of 106B for students with a strong programming background interested in a rigorous treatment of the topics at an accelerated pace. Significant amount of additional advanced material and substantially more challenging projects. Some projects may relate to CS department research. Prerequisite: excellence in 106A or equivalent, or consent of instructor.","Terms: Aut, Win | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Cain, J. (PI) ; Troccoli, N. (PI)",TRUE,TRUE,FALSE,3-5 ," Cain, J. (PI) ; Troccoli, N. (PI)"
CS 107,Computer Organization and Systems,"Introduction to the fundamental concepts of computer systems. Explores how computer systems execute programs and manipulate data, working from the C programming language down to the microprocessor. Topics covered include: the C programming language, data representation, machine-level code, computer arithmetic, elements of code compilation, memory organization and management, and performance evaluation and optimization. Prerequisites: 106B or X, or consent of instructor.","Terms: Aut, Win, Spr | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Lee, C. (PI) ; Troccoli, N. (PI)",TRUE,TRUE,TRUE,3-5 ," Lee, C. (PI) ; Troccoli, N. (PI)"
CS 107E,Computer Systems from the Ground Up,"Introduction to the fundamental concepts of computer systems through bare metal programming on the Raspberry Pi. Explores how five concepts come together in computer systems: hardware, architecture, assembly code, the C language, and software development tools. Students do all programming with a Raspberry Pi kit and several add-ons (LEDs, buttons). Topics covered include: the C programming language, data representation, machine-level code, computer arithmetic, compilation, memory organization and management, debugging, hardware, and I/O. Prerequisite: 106B or X, and consent of instructor. There is a $50 required lab fee.","Terms: Aut, Win | Units: 3-5 | UG Reqs: WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Gregg, C. (PI) ; Hanrahan, P. (PI) ; Zelenski, J. (PI)",TRUE,TRUE,FALSE,3-5 ," Gregg, C. (PI) ; Hanrahan, P. (PI) ; Zelenski, J. (PI)"
CS 108,Object-Oriented Systems Design,"Software design and construction in the context of large OOP libraries. Taught in Java. Topics: OOP design, design patterns, testing, graphical user interface (GUI) OOP libraries, software engineering strategies, approaches to programming in teams. Prerequisite: 107.","Terms: Aut, Win | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit","Instructors: Young, P. (PI)",TRUE,TRUE,FALSE,3-4 ," Young, P. (PI)"
CS 109,Introduction to Probability for Computer Scientists,"Topics include: counting and combinatorics, random variables, conditional probability, independence, distributions, expectation, point estimation, and limit theorems. Applications of probability in computer science including machine learning and the use of probability in the analysis of algorithms. Prerequisites: 103, 106B or X, multivariate calculus at the level of MATH 51 or CME 100 or equivalent.","Terms: Aut, Spr, Sum | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci, WAY-AQR, WAY-FR | Grading: Letter or Credit/No Credit","Instructors: Piech, C. (PI)",TRUE,FALSE,TRUE,3-5 ," Piech, C. (PI)"
CS 110,Principles of Computer Systems,"Principles and practice of engineering of computer software and hardware systems. Topics include: techniques for controlling complexity; strong modularity using client-server design, virtual memory, and threads; networks; atomicity and coordination of parallel activities; security, and encryption; and performance optimizations. Prerequisite: 107.","Terms: Aut, Win, Spr | Units: 3-5 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit","Instructors: Cain, J. (PI) ; Gregg, C. (PI)",TRUE,TRUE,TRUE,3-5 ," Cain, J. (PI) ; Gregg, C. (PI)"
CS 124,"From Languages to Information (LINGUIST 180, LINGUIST 280)","Extracting meaning, information, and structure from human language text, speech, web pages, social networks. Methods include: string algorithms, edit distance, language modeling, the noisy channel, machine learning classifiers, inverted indices, collaborative filtering, neural embeddings, PageRank. Applications such as question answering, sentiment analysis, information retrieval, text classification, social network models, spell checking, recommender systems, chatbots. Prerequisites: CS103, CS107, CS109.",Terms: Win | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Jurafsky, D. (PI)",FALSE,TRUE,FALSE,3-4 ," Jurafsky, D. (PI)"
CS 131,Computer Vision: Foundations and Applications,"Robots that can navigate space and perform duties, search engines that can index billions of images and videos, algorithms that can diagnose medical images for diseases, or smart cars that can see and drive safely: Lying in the heart of these modern AI applications are computer vision technologies that can perceive, understand and reconstruct the complex visual world. This course is designed for students who are interested in learning about the fundamental principles and important applications of computer vision. Course will introduce a number of fundamental concepts in computer vision and expose students to a number of real-world applications, plus guide students through a series of projects such that they will get to implement cutting-edge computer vision algorithms. Prerequisites: Students should be familiar with Python (i.e. have programmed in Python before) and Linux; plus Calculus & Linear Algebra.",Terms: Aut | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Krishna, R. (PI) ; Niebles Duque, J. (PI)",TRUE,FALSE,FALSE,3-4 ," Krishna, R. (PI) ; Niebles Duque, J. (PI)"
CS 140,Operating Systems and Systems Programming,"Operating systems design and implementation. Basic structure; synchronization and communication mechanisms; implementation of processes, process management, scheduling, and protection; memory organization and management, including virtual memory; I/O device management, secondary storage, and file systems. Prerequisite: CS 110.","Terms: Win, Spr | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit","Instructors: Mazieres, D. (PI) ; Ousterhout, J. (PI)",FALSE,TRUE,TRUE,3-4 ," Mazieres, D. (PI) ; Ousterhout, J. (PI)"
CS 140E,Operating systems design and implementation,"This is an experimental course offering. Students will implement a simple, clean operating system (virtual memory, processes, file system) on a rasberry pi computer and use the result to run a variety of devices. Enrollment is limited, and students should expect the course to have rough edges since it is the first offering.",Terms: Win | Units: 3-4 | Grading: Letter or Credit/No Credit,"Instructors: Engler, D. (PI)",FALSE,TRUE,FALSE,3-4 ," Engler, D. (PI)"
CS 141,Introduction to Computer Sound,"Core mathematics and methods for computer sound with applications to computer science. Background on digital signal processing; time- and frequency-domain methods. Project-focussed exploration of computer sound areas: fundamentals of sound analysis & synthesis, robotics and learning (sound features, filterbanks & deep learning, perception, localization, tracking, manipulation), speech (recognition, synthesis), virtual and augmented reality (3D auralization, HRTFs, reverberation), computational acoustics (wave simulation, physics-based modeling, animation sound), computer music (music synthesis, instrument modeling, audio effects, historical aspects), games (game audio, music and sound design, middleware), hardware acceleration (architectures, codecs, synthesizers). Prerequisite: CS 106A or equivalent programming experience.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: James, D. (PI)",FALSE,FALSE,TRUE,3 ," James, D. (PI)"
CS 142,Web Applications,"Concepts and techniques used in constructing interactive web applications. Browser-side web facilities such as HTML, cascading stylesheets, the document object model, and JavaScript frameworks and Server-side technologies such as server-side JavaScript, sessions, and object-oriented databases. Issues in web security and application scalability. New models of web application deployment. Prerequisites: CS 107 and CS 108.","Terms: Win, Spr | Units: 3 | Grading: Letter or Credit/No Credit","Instructors: Rosenblum, M. (PI)",FALSE,TRUE,TRUE,3 ," Rosenblum, M. (PI)"
CS 143,Compilers,"Principles and practices for design and implementation of compilers and interpreters. Topics: lexical analysis; parsing theory; symbol tables; type systems; scope; semantic analysis; intermediate representations; runtime environments; code generation; and basic program analysis and optimization. Students construct a compiler for a simple object-oriented language during course programming projects. Prerequisites: 103 or 103B, and 107.",Terms: Spr | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Chandra, S. (PI)",FALSE,FALSE,TRUE,3-4 ," Chandra, S. (PI)"
CS 144,Introduction to Computer Networking,"Principles and practice. Structure and components of computer networks, packet switching, layered architectures. Applications: web/http, voice-over-IP, p2p file sharing and socket programming. Reliable transport: TCP/IP, reliable transfer, flow control, and congestion control. The network layer: names and addresses, routing. Local area networks: ethernet and switches. Wireless networks and network security. Prerequisite: CS 110.",Terms: Win | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: McKeown, N. (PI) ; Winstein, K. (PI)",FALSE,TRUE,FALSE,3-4 ," McKeown, N. (PI) ; Winstein, K. (PI)"
CS 145,Data Management and Data Systems,"Introduction to the use, design, and implementation of database and data-intensive systems, including data models; schema design; data storage; query processing, query optimization, and cost estimation; concurrency control, transactions, and failure recovery; distributed and parallel execution; semi-structured databases; and data system support for advanced analytics and machine learning. Prerequisites: 103 and 107 (or equivalent).",Terms: Aut | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Shivakumar, N. (PI)",TRUE,FALSE,FALSE,3-4 ," Shivakumar, N. (PI)"
CS 146,Introduction to Game Design and Development,"This project-based course provides an introduction to game design covering topics like 2D/3D Art, Audio, User Interfaces, Production, Narrative Design, Marketing, and Publishing. Speakers from the profession will provide relevant context during a weekly seminar. Weekly assignments include in-depth materials and require students to independently create small video games. Classroom meetings will be used to foster student project discussions, and deepen understanding of material. The course culminates with students forming project teams to create a final video game. Assignments will be completed within the Unity game development engine; prior Unity experience is not required. Given class size limitations, an online survey will be distributed before class starts and students will be selected so to achieve a diverse class composition. Prerequisite: CS 106A or equivalent programming experience.",Terms: Aut | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: James, D. (PI) ; Riedel-Kruse, I. (PI)",TRUE,FALSE,FALSE,3 ," James, D. (PI) ; Riedel-Kruse, I. (PI)"
CS 147,Introduction to Human-Computer Interaction Design,"Introduces fundamental methods and principles for designing, implementing, and evaluating user interfaces. Topics: user-centered design, rapid prototyping, experimentation, direct manipulation, cognitive principles, visual design, social software, software tools. Learn by doing: work with a team on a quarter-long design project, supported by lectures, readings, and studios. Prerequisite: 106B or X or equivalent programming experience. Recommended that CS Majors have also taken one of 142, 193P, or 193A.",Terms: Aut | Units: 3-5 | Grading: Letter (ABCD/NP),"Instructors: Landay, J. (PI)",TRUE,FALSE,FALSE,3-5 ," Landay, J. (PI)"
CS 148,Introduction to Computer Graphics and Imaging,"Introductory prerequisite course in the computer graphics sequence introducing students to the technical concepts behind creating synthetic computer generated images. Focuses on using OpenGL to create visual imagery, as well as an understanding of the underlying mathematical concepts including triangles, normals, interpolation, texture mapping, bump mapping, etc. Course will cover fundamental understanding of light and color, as well as how it impacts computer displays and printers. Class will discuss more thoroughly how light interacts with the environment, constructing engineering models such as the BRDF, plus various simplifications into more basic lighting and shading models. Also covers ray tracing technology for creating virtual images, while drawing parallels between ray tracers and real world cameras to illustrate various concepts. Anti-aliasing and acceleration structures are also discussed. The final class mini-project consists of building out a ray tracer to create visually compelling images. Starter codes and code bits will be provided to aid in development, but this class focuses on what you can do with the code as opposed to what the code itself looks like. Therefore grading is weighted toward in person ""demos"" of the code in action - creativity and the production of impressive visual imagery are highly encouraged. Prerequisites: CS 107, MATH 51.","Terms: Aut | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci, WAY-CE | Grading: Letter or Credit/No Credit","Instructors: Fedkiw, R. (PI)",TRUE,FALSE,FALSE,3-4 ," Fedkiw, R. (PI)"
CS 149,Parallel Computing,"This course is an introduction to parallelism and parallel programming. Most new computer architectures are parallel; programming these machines requires knowledge of the basic issues of and techniques for writing parallel software. Topics: varieties of parallelism in current hardware (e.g., fast networks, multicore, accelerators such as GPUs, vector instruction sets), importance of locality, implicit vs. explicit parallelism, shared vs. non-shared memory, synchronization mechanisms (locking, atomicity, transactions, barriers), and parallel programming models (threads, data parallel/streaming, MapReduce, Apache Spark, SPMD, message passing, SIMT, transactions, and nested parallelism). Significant parallel programming assignments will be given as homework. The course is open to students who have completed the introductory CS course sequence through 110.",Terms: Win | Units: 3-4 | UG Reqs: GER:DB-EngrAppSci | Grading: Letter or Credit/No Credit,"Instructors: Fatahalian, K. (PI) ; Olukotun, O. (PI)",FALSE,TRUE,FALSE,3-4 ," Fatahalian, K. (PI) ; Olukotun, O. (PI)"
